year,branch_code,circulation
2021,JS,52713
2021,KE,81130
2021,LB,111236
2021,LE,275747
2021,LO,240346
2021,LS,198145
2021,MA,190319
2021,MAL,154004
2021,MAS,98129
2021,MCG,99043
2021,MD,49966
2021,MI,133806
2021,MP,11242
2021,MRV,38201
2021,MS,155286
2021,ND,273570
2021,NE,45142
2021,NT,63807
2021,OV,116773
2021,PA,234282
2021,PE,22187
2021,PK,188589
2021,PL,147856
2021,PM,204010
2021,PU,45739
2021,PV,101720
2021,QS,19390
2021,RD,156177
2021,RI,317534
2021,RN,309451
2021,RX,25604
2021,SA,73687
2021,SC,93231
2021,SI,20242
2021,SJ,23406
2021,SL,161940
2021,SP,33199
2021,ST,133286
2021,SW,4642
2021,SWS,294167
2021,TA,89976
2021,TH,69257
2021,TOD,6238
2021,TRL,238759
2021,VV,49993
2021,WE,59795
2021,WP,38902
2021,WS,81545
2021,WY,3768
2021,YO,65723
2021,YW,22279
2022,AB,209792
2022,ACD,84732
2022,AD,91028
2022,AG,394133
2022,AH,69713
2022,AN,131914
2022,AP,53317
2022,BB,134769
2022,BC,33959
2022,BD,69628
2022,BE,215838
2022,BF,368807
2022,BL,289981
2022,BR,345454
2022,BRW,203836
2022,BUR,64432
2022,CC,116600
2022,CE,217757
2022,CED,237252
2022,CH,68917
2022,CL,732038
2022,CS,128467
2022,DA,225709
2022,DM,401716
2022,DO,119424
2022,DP,288495
2022,DR,94405
2022,DT,57890
2022,DU,154485
2022,EA,359551
2022,EB,76420
2022,EG,34926
2022,EN,279998
2022,ES,136581
2022,FH,143551
2022,FO,180341
2022,FP,66808
2022,FV,447214
2022,GE,99785
2022,GHP,118150
2022,GW,63224
2022,HB,83126
2022,HC,87911
2022,HIL,181066
2022,HP,200102
2022,HS,33951
2022,HW,29362
2022,JD,200464
2022,JO,108010
2022,JS,70105
2022,KE,110971
2022,LB,90655
2022,LE,282606
2022,LO,162948
2022,LS,237732
2022,MA,225908
2022,MAL,210714
2022,MAS,138093
2022,MCG,101179
2022,MD,73517
2022,MI,161819
2022,MP,10191
2022,MRV,55037
2022,MS,143361
2022,ND,380855
2022,NE,46726
2022,NT,78132
2022,OV,110991
2022,PA,268749
2022,PE,60143
2022,PK,279390
2022,PL,177165
2022,PM,184670
2022,PU,109801
2022,PV,100288
2022,QS,73086
2022,RD,171092
2022,RI,398376
2022,RN,362744
2022,RX,35307
2022,SA,102407
2022,SC,134117
2022,SI,44750
2022,SJ,81061
2022,SL,146566
2022,SP,72202
2022,ST,132901
2022,SW,16345
2022,SWS,338947
2022,TA,78732
2022,TH,91727
2022,TOD,20919
2022,TRL,239509
2022,VV,49054
2022,WE,78666
2022,WP,35084
2022,WS,176330
2022,WY,47953
2022,YO,142124
2022,YW,43695
