branch_code,year,visits
LO,2021,64678
LS,2021,75630
MA,2021,50037
MAL,2021,57937
MAS,2021,42003
MCG,2021,27536
MD,2021,30326
MI,2021,28681
MRV,2021,24654
MS,2021,42315
ND,2021,5612
NE,2021,13698
NT,2021,16522
OV,2021,5031
PA,2021,51921
PE,2021,8267
PK,2021,82433
PL,2021,62707
PM,2021,50269
PU,2021,10688
PV,2021,20003
QS,2021,9916
RD,2021,5710
RI,2021,86957
RN,2021,92865
RX,2021,11666
SA,2021,43987
SC,2021,45783
SI,2021,9327
SJ,2021,11312
SL,2021,47209
SP,2021,9654
ST,2021,30057
SWS,2021,73913
TA,2021,16047
TH,2021,16877
TOD,2021,1296
TRL,2021,244641
VV,2021,10639
WE,2021,28589
WP,2021,12922
WS,2021,51362
YO,2021,25840
YW,2021,25317
AB,2022,191320
ACD,2022,59881
AD,2022,47658
AG,2022,137685
AH,2022,18416
AN,2022,43257
AP,2022,28006
BB,2022,54070
BC,2022,43995
BD,2022,29668
BE,2022,122734
BF,2022,142752
BL,2022,202438
BR,2022,133221
BRW,2022,199345
BUR,2022,34835
CC,2022,44702
CE,2022,95026
CED,2022,187054
CH,2022,58226
CL,2022,827795
CS,2022,54432
DA,2022,92387
DM,2022,146812
DO,2022,116686
DP,2022,165101
DR,2022,43606
DT,2022,13947
DU,2022,71848
EA,2022,137873
EB,2022,21786
EG,2022,18450
EN,2022,100183
ES,2022,137717
FH,2022,72570
FO,2022,122233
FP,2022,93145
FV,2022,295488
GE,2022,42256
GHP,2022,41524
GW,2022,27047
HB,2022,23300
HC,2022,33550
HIL,2022,50693
HP,2022,106896
HS,2022,20197
HW,2022,29417
JD,2022,87567
JO,2022,41781
JS,2022,55649
KE,2022,75654
LB,2022,30760
LE,2022,107068
LO,2022,68641
LS,2022,169226
MA,2022,88269
MAL,2022,134121
MAS,2022,105100
MCG,2022,51954
MD,2022,72801
MI,2022,55676
MRV,2022,79733
MS,2022,80008
ND,2022,234291
NE,2022,22338
NT,2022,29806
OV,2022,51839
PA,2022,125371
PE,2022,24922
PK,2022,189577
PL,2022,134804
PM,2022,81764
PU,2022,39945
PV,2022,33177
QS,2022,39625
RD,2022,91701
RI,2022,179693
RN,2022,175890
RX,2022,20128
SA,2022,90084
SC,2022,115726
SI,2022,20273
SJ,2022,71045
SL,2022,68345
SP,2022,37150
ST,2022,68224
SW,2022,7707
SWS,2022,162852
TA,2022,23011
TH,2022,77271
TOD,2022,14260
TRL,2022,745217
VV,2022,19859
WE,2022,73630
WP,2022,28304
WS,2022,163061
WY,2022,37001
YO,2022,75390
YW,2022,69116
